candidate	seed	model	iptm	min_incident_iptm	contact_pair_pae_median	cif_path
ova_body_c4_073_ms	1	seed-1_sample-0	0.85	0.82	2.3899999999999997	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_73/seed-1_sample-0/ova_body_c4_73_seed-1_sample-0_model.cif
ova_body_c4_073_ms	1	seed-1_sample-1	0.85	0.82	2.41	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_73/seed-1_sample-1/ova_body_c4_73_seed-1_sample-1_model.cif
ova_body_c4_073_ms	1	seed-1_sample-2	0.85	0.82	2.36	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_73/seed-1_sample-2/ova_body_c4_73_seed-1_sample-2_model.cif
ova_body_c4_073_ms	1	seed-1_sample-3	0.85	0.82	2.33	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_73/seed-1_sample-3/ova_body_c4_73_seed-1_sample-3_model.cif
ova_body_c4_073_ms	1	seed-1_sample-4	0.85	0.83	2.3200000000000003	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_73/seed-1_sample-4/ova_body_c4_73_seed-1_sample-4_model.cif
ova_body_c4_073_ms	2	seed-2_sample-0	0.85	0.82	2.325	experiments/e165_c4_iptm90_073_multiseed/out_s0/ova_body_c4_073_ms/seed-2_sample-0/ova_body_c4_073_ms_seed-2_sample-0_model.cif
ova_body_c4_073_ms	2	seed-2_sample-1	0.85	0.82	2.395	experiments/e165_c4_iptm90_073_multiseed/out_s0/ova_body_c4_073_ms/seed-2_sample-1/ova_body_c4_073_ms_seed-2_sample-1_model.cif
ova_body_c4_073_ms	2	seed-2_sample-2	0.85	0.82	2.33	experiments/e165_c4_iptm90_073_multiseed/out_s0/ova_body_c4_073_ms/seed-2_sample-2/ova_body_c4_073_ms_seed-2_sample-2_model.cif
ova_body_c4_073_ms	2	seed-2_sample-3	0.85	0.82	2.325	experiments/e165_c4_iptm90_073_multiseed/out_s0/ova_body_c4_073_ms/seed-2_sample-3/ova_body_c4_073_ms_seed-2_sample-3_model.cif
ova_body_c4_073_ms	2	seed-2_sample-4	0.85	0.82	2.315	experiments/e165_c4_iptm90_073_multiseed/out_s0/ova_body_c4_073_ms/seed-2_sample-4/ova_body_c4_073_ms_seed-2_sample-4_model.cif
ova_body_c4_073_ms	3	seed-3_sample-0	0.85	0.82	2.31	experiments/e165_c4_iptm90_073_multiseed/out_s1/ova_body_c4_073_ms/seed-3_sample-0/ova_body_c4_073_ms_seed-3_sample-0_model.cif
ova_body_c4_073_ms	3	seed-3_sample-1	0.86	0.83	2.215	experiments/e165_c4_iptm90_073_multiseed/out_s1/ova_body_c4_073_ms/seed-3_sample-1/ova_body_c4_073_ms_seed-3_sample-1_model.cif
ova_body_c4_073_ms	3	seed-3_sample-2	0.85	0.82	2.33	experiments/e165_c4_iptm90_073_multiseed/out_s1/ova_body_c4_073_ms/seed-3_sample-2/ova_body_c4_073_ms_seed-3_sample-2_model.cif
ova_body_c4_073_ms	3	seed-3_sample-3	0.85	0.83	2.25	experiments/e165_c4_iptm90_073_multiseed/out_s1/ova_body_c4_073_ms/seed-3_sample-3/ova_body_c4_073_ms_seed-3_sample-3_model.cif
ova_body_c4_073_ms	3	seed-3_sample-4	0.85	0.82	2.37	experiments/e165_c4_iptm90_073_multiseed/out_s1/ova_body_c4_073_ms/seed-3_sample-4/ova_body_c4_073_ms_seed-3_sample-4_model.cif
ova_body_c4_073_ms	4	seed-4_sample-0	0.84	0.81	2.4450000000000003	experiments/e165_c4_iptm90_073_multiseed/out_s2/ova_body_c4_073_ms/seed-4_sample-0/ova_body_c4_073_ms_seed-4_sample-0_model.cif
ova_body_c4_073_ms	4	seed-4_sample-1	0.85	0.82	2.4050000000000002	experiments/e165_c4_iptm90_073_multiseed/out_s2/ova_body_c4_073_ms/seed-4_sample-1/ova_body_c4_073_ms_seed-4_sample-1_model.cif
ova_body_c4_073_ms	4	seed-4_sample-2	0.85	0.82	2.4450000000000003	experiments/e165_c4_iptm90_073_multiseed/out_s2/ova_body_c4_073_ms/seed-4_sample-2/ova_body_c4_073_ms_seed-4_sample-2_model.cif
ova_body_c4_073_ms	4	seed-4_sample-3	0.85	0.82	2.38	experiments/e165_c4_iptm90_073_multiseed/out_s2/ova_body_c4_073_ms/seed-4_sample-3/ova_body_c4_073_ms_seed-4_sample-3_model.cif
ova_body_c4_073_ms	4	seed-4_sample-4	0.85	0.82	2.4450000000000003	experiments/e165_c4_iptm90_073_multiseed/out_s2/ova_body_c4_073_ms/seed-4_sample-4/ova_body_c4_073_ms_seed-4_sample-4_model.cif
ova_body_c4_073_ms	5	seed-5_sample-0	0.85	0.83	2.32	experiments/e165_c4_iptm90_073_multiseed/out_s3/ova_body_c4_073_ms/seed-5_sample-0/ova_body_c4_073_ms_seed-5_sample-0_model.cif
