candidate_index	source_name	task_index	context	family	order_index	design_nll	chain_a_nll	chain_b_nll	chain_c_nll	chain_d_nll	chain_spread
0	OVA-C4-IPTM90-405	0	ai11_af3_bb1	AI11_AF3	0	1.2235952615737915	1.2872254848480225	1.2510676383972168	1.1791255474090576	1.1769623756408691	0.11026310920715332
0	OVA-C4-IPTM90-405	0	ai11_af3_bb1	AI11_AF3	1	1.2062455415725708	1.1843981742858887	1.2025518417358398	1.2045639753341675	1.2334680557250977	0.049069881439208984
0	OVA-C4-IPTM90-405	0	ai11_af3_bb1	AI11_AF3	2	1.241950273513794	1.1205472946166992	1.2460153102874756	1.3223698139190674	1.2788689136505127	0.20182251930236816
0	OVA-C4-IPTM90-405	0	ai11_af3_bb1	AI11_AF3	3	1.247676134109497	1.0801677703857422	1.3098012208938599	1.1794967651367188	1.421238899230957	0.34107112884521484
1	OVA-C4-IPTM90-151	0	ai11_af3_bb1	AI11_AF3	0	1.2111698389053345	1.3152897357940674	1.2485935688018799	1.159769058227539	1.1210269927978516	0.19426274299621582
1	OVA-C4-IPTM90-151	0	ai11_af3_bb1	AI11_AF3	1	1.2057214975357056	1.2252873182296753	1.2609984874725342	1.147782325744629	1.1888177394866943	0.11321616172790527
1	OVA-C4-IPTM90-151	0	ai11_af3_bb1	AI11_AF3	2	1.2363018989562988	1.0632903575897217	1.298822045326233	1.3037655353546143	1.279329776763916	0.24047517776489258
1	OVA-C4-IPTM90-151	0	ai11_af3_bb1	AI11_AF3	3	1.2345482110977173	1.0975255966186523	1.2216490507125854	1.1590875387191772	1.4599305391311646	0.3624049425125122
2	OVA-C4-IPTM90-021	0	ai11_af3_bb1	AI11_AF3	0	1.2192713022232056	1.301481008529663	1.2475136518478394	1.1822620630264282	1.1458286046981812	0.15565240383148193
2	OVA-C4-IPTM90-021	0	ai11_af3_bb1	AI11_AF3	1	1.199336051940918	1.2039328813552856	1.2415515184402466	1.1699398756027222	1.1819194555282593	0.07161164283752441
2	OVA-C4-IPTM90-021	0	ai11_af3_bb1	AI11_AF3	2	1.2450929880142212	1.0997391939163208	1.2716673612594604	1.2902461290359497	1.3187193870544434	0.21898019313812256
2	OVA-C4-IPTM90-021	0	ai11_af3_bb1	AI11_AF3	3	1.237521767616272	1.0798758268356323	1.2518818378448486	1.1843079328536987	1.4340215921401978	0.35414576530456543
3	OVA-C4-IPTM90-415	0	ai11_af3_bb1	AI11_AF3	0	1.2228208780288696	1.2828965187072754	1.2430170774459839	1.170188069343567	1.1951814889907837	0.1127084493637085
3	OVA-C4-IPTM90-415	0	ai11_af3_bb1	AI11_AF3	1	1.2211968898773193	1.2088899612426758	1.2476577758789062	1.1970864534378052	1.2311534881591797	0.050571322441101074
3	OVA-C4-IPTM90-415	0	ai11_af3_bb1	AI11_AF3	2	1.2299689054489136	1.0839849710464478	1.274619221687317	1.3069225549697876	1.2543487548828125	0.22293758392333984
3	OVA-C4-IPTM90-415	0	ai11_af3_bb1	AI11_AF3	3	1.2361711263656616	1.1084375381469727	1.2542935609817505	1.1607435941696167	1.4212102890014648	0.3127727508544922
4	OVA-C4-IPTM90-466	0	ai11_af3_bb1	AI11_AF3	0	1.2626173496246338	1.347628116607666	1.361850380897522	1.1663668155670166	1.1746240854263306	0.19548356533050537
4	OVA-C4-IPTM90-466	0	ai11_af3_bb1	AI11_AF3	1	1.2420133352279663	1.247663974761963	1.2632042169570923	1.2148479223251343	1.2423372268676758	0.04835629463195801
4	OVA-C4-IPTM90-466	0	ai11_af3_bb1	AI11_AF3	2	1.2767674922943115	1.1422014236450195	1.2763370275497437	1.3853145837783813	1.3032164573669434	0.24311316013336182
4	OVA-C4-IPTM90-466	0	ai11_af3_bb1	AI11_AF3	3	1.2723705768585205	1.0776177644729614	1.2861272096633911	1.214742660522461	1.5109950304031372	0.4333772659301758
5	OVA-C4-IPTM90-262	0	ai11_af3_bb1	AI11_AF3	0	1.2704410552978516	1.3384262323379517	1.3250706195831299	1.2073050737380981	1.2109622955322266	0.13112115859985352
5	OVA-C4-IPTM90-262	0	ai11_af3_bb1	AI11_AF3	1	1.2498672008514404	1.2836310863494873	1.299688696861267	1.1891602277755737	1.2269887924194336	0.11052846908569336
5	OVA-C4-IPTM90-262	0	ai11_af3_bb1	AI11_AF3	2	1.292195200920105	1.150649070739746	1.3210506439208984	1.3683744668960571	1.3287060260772705	0.21772539615631104
5	OVA-C4-IPTM90-262	0	ai11_af3_bb1	AI11_AF3	3	1.2925187349319458	1.1278332471847534	1.2809250354766846	1.2568742036819458	1.5044424533843994	0.376609206199646
6	OVA-C4-IPTM90-331	0	ai11_af3_bb1	AI11_AF3	0	1.2202444076538086	1.3092771768569946	1.2628757953643799	1.161868929862976	1.146955132484436	0.1623220443725586
6	OVA-C4-IPTM90-331	0	ai11_af3_bb1	AI11_AF3	1	1.2081598043441772	1.2073514461517334	1.265933871269226	1.166866660118103	1.1924872398376465	0.09906721115112305
