candidate	mean_iptm
OVA-C4-IPTM80-20A	0.6008326649665833
OVA-C4-IPTM80-21B	0.7482784390449524
OVA-C4-IPTM80-20D	0.39543991088867186
OVA-C4-IPTM80-21C	0.4059423327445984
OVA-C4-IPTM80-21E	0.40537463426589965
OVA-C4-IPTM80-19K	0.7880851030349731
OVA-C4-IPTM80-19F	0.49271680116653443
OVA-C4-IPTM80-19L	0.4286567270755768
OVA-C4-IPTM80-21H	0.3805539429187775
OVA-C4-IPTM80-21G	0.3428593575954437
OVA-C4-IPTM80-21I	0.5823085844516754
OVA-C4-IPTM80-19J	0.5389923214912414
OVA-C4-IPTM80-20N	0.6335937261581421
OVA-C4-IPTM80-19R	0.429275381565094
OVA-C4-IPTM80-20O	0.5371508240699768
OVA-C4-IPTM80-21M	0.39133601188659667
OVA-C4-IPTM80-21P	0.541416484117508
OVA-C4-IPTM80-20T	0.563752281665802
OVA-C4-IPTM80-21S	0.7030826807022095
OVA-C4-IPTM80-22Q	0.47749229669570925
ova_body_c4_multihit11_ms	0.6950387835502625
ova_body_c4_073_ms	0.6770575284957886
