candidate	shared_nonvdw_position_type_count
OVA-C4-IPTM80-20A	14
OVA-C4-IPTM80-21B	12
OVA-C4-IPTM80-20D	3
OVA-C4-IPTM80-21C	5
OVA-C4-IPTM80-21E	2
OVA-C4-IPTM80-19K	8
OVA-C4-IPTM80-19F	12
OVA-C4-IPTM80-19L	1
OVA-C4-IPTM80-21H	7
OVA-C4-IPTM80-21G	2
OVA-C4-IPTM80-21I	15
OVA-C4-IPTM80-19J	5
OVA-C4-IPTM80-20N	12
OVA-C4-IPTM80-19R	3
OVA-C4-IPTM80-20O	3
OVA-C4-IPTM80-21M	3
OVA-C4-IPTM80-21P	15
OVA-C4-IPTM80-20T	11
OVA-C4-IPTM80-21S	15
OVA-C4-IPTM80-22Q	10
ova_body_c4_multihit11_ms	15
ova_body_c4_073_ms	14
