candidate_index	source_name	task_index	context	family	order_index	design_nll	chain_a_nll	chain_b_nll	chain_c_nll	chain_d_nll	chain_spread
0	OVA-C4-IPTM90-405	1	ai11_af3_bb2	AI11_AF3	0	1.267594814300537	1.3591506481170654	1.1714249849319458	1.2497628927230835	1.2900406122207642	0.18772566318511963
0	OVA-C4-IPTM90-405	1	ai11_af3_bb2	AI11_AF3	1	1.2730437517166138	1.4244205951690674	1.1812547445297241	1.2081291675567627	1.2783702611923218	0.24316585063934326
0	OVA-C4-IPTM90-405	1	ai11_af3_bb2	AI11_AF3	2	1.2397874593734741	1.286012887954712	1.1537306308746338	1.3084830045700073	1.2109235525131226	0.15475237369537354
0	OVA-C4-IPTM90-405	1	ai11_af3_bb2	AI11_AF3	3	1.2682632207870483	1.3383936882019043	1.205001711845398	1.1715099811553955	1.3581475019454956	0.1866375207901001
1	OVA-C4-IPTM90-151	1	ai11_af3_bb2	AI11_AF3	0	1.2535964250564575	1.2738064527511597	1.198736548423767	1.2218410968780518	1.3200016021728516	0.12126505374908447
1	OVA-C4-IPTM90-151	1	ai11_af3_bb2	AI11_AF3	1	1.2270091772079468	1.3668218851089478	1.1335479021072388	1.1800673007965088	1.2275996208190918	0.23327398300170898
1	OVA-C4-IPTM90-151	1	ai11_af3_bb2	AI11_AF3	2	1.2397881746292114	1.3273980617523193	1.1191390752792358	1.3061515092849731	1.2064642906188965	0.2082589864730835
1	OVA-C4-IPTM90-151	1	ai11_af3_bb2	AI11_AF3	3	1.2353237867355347	1.3328438997268677	1.1235977411270142	1.1495287418365479	1.3353242874145508	0.21172654628753662
2	OVA-C4-IPTM90-021	1	ai11_af3_bb2	AI11_AF3	0	1.2478235960006714	1.2926750183105469	1.1731230020523071	1.2057716846466064	1.3197245597839355	0.14660155773162842
2	OVA-C4-IPTM90-021	1	ai11_af3_bb2	AI11_AF3	1	1.2257540225982666	1.3833740949630737	1.136287808418274	1.1583797931671143	1.2249741554260254	0.2470862865447998
2	OVA-C4-IPTM90-021	1	ai11_af3_bb2	AI11_AF3	2	1.2354037761688232	1.3271480798721313	1.1124258041381836	1.3071019649505615	1.194939136505127	0.21472227573394775
2	OVA-C4-IPTM90-021	1	ai11_af3_bb2	AI11_AF3	3	1.2309942245483398	1.3336782455444336	1.1343698501586914	1.12816321849823	1.3277653455734253	0.2055150270462036
3	OVA-C4-IPTM90-415	1	ai11_af3_bb2	AI11_AF3	0	1.2621636390686035	1.3377610445022583	1.2094730138778687	1.230111837387085	1.271308422088623	0.12828803062438965
3	OVA-C4-IPTM90-415	1	ai11_af3_bb2	AI11_AF3	1	1.2568098306655884	1.363923192024231	1.1681076288223267	1.1903157234191895	1.304892897605896	0.1958155632019043
3	OVA-C4-IPTM90-415	1	ai11_af3_bb2	AI11_AF3	2	1.244866132736206	1.3239415884017944	1.1620445251464844	1.2662506103515625	1.227227807044983	0.16189706325531006
3	OVA-C4-IPTM90-415	1	ai11_af3_bb2	AI11_AF3	3	1.2568247318267822	1.3199758529663086	1.1507365703582764	1.1997015476226807	1.3568848371505737	0.20614826679229736
4	OVA-C4-IPTM90-466	1	ai11_af3_bb2	AI11_AF3	0	1.2898037433624268	1.3567687273025513	1.1925067901611328	1.2740936279296875	1.335845947265625	0.16426193714141846
4	OVA-C4-IPTM90-466	1	ai11_af3_bb2	AI11_AF3	1	1.2568690776824951	1.420400857925415	1.1604747772216797	1.2273690700531006	1.2192312479019165	0.25992608070373535
4	OVA-C4-IPTM90-466	1	ai11_af3_bb2	AI11_AF3	2	1.2733055353164673	1.3230931758880615	1.1888707876205444	1.4031627178192139	1.1780955791473389	0.225067138671875
4	OVA-C4-IPTM90-466	1	ai11_af3_bb2	AI11_AF3	3	1.269355297088623	1.36968994140625	1.1691093444824219	1.1265249252319336	1.4120969772338867	0.2855720520019531
5	OVA-C4-IPTM90-262	1	ai11_af3_bb2	AI11_AF3	0	1.27609121799469	1.3114259243011475	1.207846999168396	1.238419532775879	1.346672534942627	0.13882553577423096
5	OVA-C4-IPTM90-262	1	ai11_af3_bb2	AI11_AF3	1	1.2494746446609497	1.3982596397399902	1.1715848445892334	1.1912944316864014	1.2367593050003052	0.22667479515075684
5	OVA-C4-IPTM90-262	1	ai11_af3_bb2	AI11_AF3	2	1.2620739936828613	1.332790732383728	1.1593095064163208	1.367256760597229	1.1889389753341675	0.2079472541809082
5	OVA-C4-IPTM90-262	1	ai11_af3_bb2	AI11_AF3	3	1.2574084997177124	1.361546277999878	1.1540786027908325	1.141945719718933	1.3720637559890747	0.2301180362701416
6	OVA-C4-IPTM90-331	1	ai11_af3_bb2	AI11_AF3	0	1.2425819635391235	1.2888994216918945	1.1937979459762573	1.2089290618896484	1.2787014245986938	0.09510147571563721
6	OVA-C4-IPTM90-331	1	ai11_af3_bb2	AI11_AF3	1	1.2165732383728027	1.3551321029663086	1.1118837594985962	1.1635847091674805	1.2356922626495361	0.2432483434677124
