system	kind	n_chains	n_models	expected_models	complete	median_iptm	max_iptm	median_ptm	median_min_ova_plddt	median_min_module_plddt	median_min_binder_plddt	median_min_incident_iptm	median_contact_pair_iptm	median_contact_pair_pae	median_total_contacts	median_ova_contacts	median_module_contacts	full_connected_fraction	module_connected_fraction	unclashed_fraction	median_interface_jaccard	best_model	best_iptm	best_min_incident_iptm	best_cif
ova_body_c4_01	ova_body_c4_candidate	4	5	5	1	0.67	0.7	0.74	88.69	nan	nan	0.67	0.615	6.035	251.0	251.0	0.0	1.0	0.0	1.0	0.9033	seed-1_sample-4	0.7	0.7	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_02	ova_body_c4_candidate	4	5	5	1	0.29	0.29	0.45	85.85	nan	nan	0.36	0.265	18.88	322.0	322.0	0.0	1.0	0.0	1.0	0.8533	seed-1_sample-0	0.29	0.38	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif
ova_body_c4_03	ova_body_c4_candidate	4	5	5	1	0.78	0.79	0.82	89.4	nan	nan	0.74	0.73	3.44	192.0	192.0	0.0	1.0	0.0	1.0	0.8623	seed-1_sample-4	0.79	0.74	experiments/e117_c4_iptm80_af2traj_af3/out_s2/ova_body_c4_03/seed-1_sample-4/ova_body_c4_03_seed-1_sample-4_model.cif
ova_body_c4_04	ova_body_c4_candidate	4	5	5	1	0.8	0.8	0.84	89.7	nan	nan	0.76	0.75	3.055	178.0	178.0	0.0	1.0	0.0	1.0	0.9137	seed-1_sample-1	0.8	0.77	experiments/e117_c4_iptm80_af2traj_af3/out_s3/ova_body_c4_04/seed-1_sample-1/ova_body_c4_04_seed-1_sample-1_model.cif
ova_body_c4_05	ova_body_c4_candidate	4	5	5	1	0.82	0.83	0.85	89.98	nan	nan	0.78	0.78	2.73	174.0	174.0	0.0	1.0	0.0	1.0	0.9487	seed-1_sample-4	0.83	0.79	experiments/e117_c4_iptm80_af2traj_af3/out_s4/ova_body_c4_05/seed-1_sample-4/ova_body_c4_05_seed-1_sample-4_model.cif
ova_body_c4_06	ova_body_c4_candidate	4	5	5	1	0.81	0.83	0.84	89.73	nan	nan	0.77	0.77	2.85	186.0	186.0	0.0	1.0	0.0	1.0	0.9231	seed-1_sample-3	0.83	0.79	experiments/e117_c4_iptm80_af2traj_af3/out_s5/ova_body_c4_06/seed-1_sample-3/ova_body_c4_06_seed-1_sample-3_model.cif
ova_body_c4_07	ova_body_c4_candidate	4	5	5	1	0.52	0.53	0.62	87.52	nan	nan	0.58	0.39	11.225	247.0	247.0	0.0	1.0	0.0	1.0	0.7948	seed-1_sample-2	0.53	0.6	experiments/e117_c4_iptm80_af2traj_af3/out_s6/ova_body_c4_07/seed-1_sample-2/ova_body_c4_07_seed-1_sample-2_model.cif
ova_body_c4_08	ova_body_c4_candidate	4	5	5	1	0.34	0.37	0.49	86.54	nan	nan	0.49	0.2	20.39	387.0	387.0	0.0	1.0	0.0	1.0	0.6851	seed-1_sample-2	0.37	0.53	experiments/e117_c4_iptm80_af2traj_af3/out_s7/ova_body_c4_08/seed-1_sample-2/ova_body_c4_08_seed-1_sample-2_model.cif
ova_body_c4_09	ova_body_c4_candidate	4	5	5	1	0.8	0.8	0.83	89.64	nan	nan	0.76	0.75	3.49	208.0	208.0	0.0	1.0	0.0	1.0	0.9286	seed-1_sample-4	0.8	0.76	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_09/seed-1_sample-4/ova_body_c4_09_seed-1_sample-4_model.cif
ova_body_c4_10	ova_body_c4_candidate	4	5	5	1	0.4	0.41	0.54	86.71	nan	nan	0.55	0.395	12.985	364.0	364.0	0.0	1.0	0.0	1.0	0.9006	seed-1_sample-4	0.41	0.57	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_10/seed-1_sample-4/ova_body_c4_10_seed-1_sample-4_model.cif
