candidate	kind	n_seeds	mean_iptm	median_iptm	max_iptm	mean_ptm	mean_plddt_normalized	main_topology_cluster_size	gate_opendde_10_seeds	geometry_selectable_seed_count	selectable_seed_count	selected_seed	selected_iptm	selected_dockq_to_design	selected_cif_path	opendde_evidence_available
CTRL-WT-C4	negative_background	10	0.2062688633799553	0.2063390016555786	0.210538849234581	0.3871884077787399	0.8272386856079101	8	1	0	0					0
CTRL-P3-13R-C4	negative_background	10	0.23976372480392455	0.2401406466960907	0.24557453393936157	0.4113382756710052	0.8378934936523438	3	1	0	0					0
OVA-C4-IPTM80-19K	process_positive	10	0.5723402976989747	0.5722137093544006	0.5805789232254028	0.6608491599559784	0.8599689102172852	10	1	0	0					0
OVA-C4-IPTM80-20A	final_candidate	10	0.33944062888622284	0.3376459926366806	0.3551601767539978	0.4807800829410553	0.836726188659668	10	1	0	0					0
OVA-C4-IPTM80-21B	process_positive	10	0.33754226565361023	0.3416478931903839	0.35464155673980713	0.48475411236286164	0.83748046875	4	1	0	0					0
OVA-C4-IPTM80-21C	final_candidate	10	0.3785310655832291	0.37804584205150604	0.3822430372238159	0.5103625118732452	0.8408957595825195	10	1	0	0					0
OVA-C4-IPTM80-20D	final_candidate	10	0.34775862991809847	0.3473951518535614	0.3531428277492523	0.4876384884119034	0.8392344589233398	10	1	0	0					0
OVA-C4-IPTM80-21E	final_candidate	10	0.4260006040334702	0.426165446639061	0.4284941554069519	0.5455391705036163	0.8470671920776367	10	1	0	0					0
OVA-C4-IPTM80-19F	final_candidate	10	0.26783355623483657	0.2716298997402191	0.273077130317688	0.4315160095691681	0.8370610809326172	4	1	0	0					0
OVA-C4-IPTM80-21G	final_candidate	10	0.3383094608783722	0.3377062529325485	0.3486038148403168	0.48354012072086333	0.8288936080932617	10	1	0	0					0
OVA-C4-IPTM80-21H	final_candidate	10	0.35981703400611875	0.36342234909534454	0.38133037090301514	0.49774928092956544	0.8385851821899414	10	1	0	0					0
OVA-C4-IPTM80-21I	final_candidate	10	0.29065777361392975	0.29011572897434235	0.30069777369499207	0.45018260180950165	0.8308717422485352	2	1	0	0					0
OVA-C4-IPTM80-19J	final_candidate	10	0.36884728670120237	0.3591405749320984	0.4163942337036133	0.5071271330118179	0.8343822860717773	9	1	0	0					0
OVA-C4-IPTM80-19L	final_candidate	10	0.341769278049469	0.3430306166410446	0.3678878843784332	0.4863071382045746	0.8409730758666992	4	1	0	0					0
OVA-C4-IPTM80-21M	final_candidate	10	0.3386699169874191	0.33828650414943695	0.34364938735961914	0.4813371002674103	0.8301734390258789	10	1	0	0					0
OVA-C4-IPTM80-20N	final_candidate	10	0.35491185784339907	0.3541572839021683	0.3671163320541382	0.4983405113220215	0.8388665313720703	10	1	0	0					0
OVA-C4-IPTM80-20O	final_candidate	10	0.34609986245632174	0.34441402554512024	0.3722532093524933	0.49048795104026793	0.8356691284179687	7	1	0	0					0
OVA-C4-IPTM80-21P	final_candidate	10	0.40636003017425537	0.3990637958049774	0.49304184317588806	0.5330963432788849	0.8549489440917969	5	1	0	0					0
OVA-C4-IPTM80-22Q	final_candidate	10	0.3562158852815628	0.3497525602579117	0.3834740221500397	0.4946868807077408	0.8359916381835938	10	1	0	0					0
OVA-C4-IPTM80-19R	final_candidate	10	0.2825286716222763	0.2866324782371521	0.29498717188835144	0.44579600393772123	0.8443048934936523	2	1	0	0					0
OVA-C4-IPTM80-21S	final_candidate	10	0.3459427744150162	0.3492927700281143	0.40762361884117126	0.49234372079372407	0.8390985488891601	5	1	0	0					0
OVA-C4-IPTM80-20T	final_candidate	10	0.2687031030654907	0.2503932863473892	0.36295467615127563	0.43272944688797	0.8362190093994141	4	1	0	0					0
